path	translation	split
common_voice_lv_19409371.mp3	Sorry, sorry. Does it hurt?	test
common_voice_lv_19869505.mp3	You know, you will have to come back.	test
common_voice_lv_19380826.mp3	Isn’t it so?	test
common_voice_lv_19380829.mp3	I still have something to do.	test
common_voice_lv_19412855.mp3	You don’t know how to do anything.	test
common_voice_lv_19454044.mp3	There is nothing in that hotel as well.	test
common_voice_lv_19454045.mp3	What is that?	test
common_voice_lv_19614208.mp3	Bye. Let’s go, Robert!	test
common_voice_lv_19614210.mp3	Darling, not now. But soon, very soon.	test
common_voice_lv_19614231.mp3	Get out of the chair and help to get it in the house!	test
common_voice_lv_19614366.mp3	March inside!	test
common_voice_lv_19411143.mp3	They are cutting down the trees.	test
common_voice_lv_19411144.mp3	Hold your tongue.	test
common_voice_lv_19411145.mp3	But I hate you, Harry.	test
common_voice_lv_19411146.mp3	You only can do that.	test
common_voice_lv_19549620.mp3	Yes, she is weird.	test
common_voice_lv_19549622.mp3	Again.	test
common_voice_lv_19549623.mp3	But then I understood.	test
common_voice_lv_19549626.mp3	Maybe.	test
common_voice_lv_19435235.mp3	Okay, then give it back.	test
common_voice_lv_19435237.mp3	She won’t be there anymore.	test
common_voice_lv_19435238.mp3	What’s the matter?	test
common_voice_lv_19435239.mp3	Who’s coming with me?	test
common_voice_lv_19277853.mp3	I think he is fine.	test
common_voice_lv_19277854.mp3	Kārlis loves you very much, more than anything in the world, and without you he is going mad.	test
common_voice_lv_19277855.mp3	Even when I’ll tell her who I am, she won’t believe me.	test
common_voice_lv_19277856.mp3	A great guy.	test
common_voice_lv_19277857.mp3	It’s treason.	test
common_voice_lv_19397800.mp3	Sorry, I am not selling my bear.	test
common_voice_lv_19397802.mp3	Cover that corner!	test
common_voice_lv_19397804.mp3	He is real.	test
common_voice_lv_19397805.mp3	First come, first served.	test
common_voice_lv_19397806.mp3	I did it myself.	test
common_voice_lv_19386852.mp3	The one who speaks everything one has heard, soon will hear what one does not want to hear.	test
common_voice_lv_19386853.mp3	What is the largest amount you have lost in throwing a coin?	test
common_voice_lv_19386854.mp3	Will you be guarding all night?	test
common_voice_lv_19386855.mp3	I am not a slave.	test
common_voice_lv_19386856.mp3	You made up fairytales about the Chinese.	test
