path	translation	split
common_voice_sl_18177874.mp3	Even the longest journey begins with a single step.	test
common_voice_sl_18168106.mp3	Where Satan cannot penetrate, he sends wine as his ambassador.	test
common_voice_sl_19378107.mp3	It always tickles when she hugs me.	test
common_voice_sl_17633347.mp3	Indeed, that is what i thought.	test
common_voice_sl_19095117.mp3	The hero dies, but his vows remain.	test
common_voice_sl_19675139.mp3	Yes, why not?	test
common_voice_sl_18143625.mp3	What happened with him?	test
common_voice_sl_18143637.mp3	Our impact on their monopoly is limited.	test
common_voice_sl_18250447.mp3	Hello, Benjamin!	test
common_voice_sl_18250449.mp3	Mark this area with a red sign.	test
common_voice_sl_18171820.mp3	We cannot believe that we won.	test
common_voice_sl_18171824.mp3	I have not decided yet.	test
common_voice_sl_18171825.mp3	The healthy think of different things than the sick.	test
common_voice_sl_17794339.mp3	Right?	test
common_voice_sl_17794341.mp3	The healthy rush to the tomb, the sick flee from it.	test
common_voice_sl_17794342.mp3	Where is my shoe?	test
common_voice_sl_18168896.mp3	Experience is the mother of all wisdom.	test
common_voice_sl_18168898.mp3	Little children have come to him.	test
common_voice_sl_18168909.mp3	Delete this file.	test
common_voice_sl_17487677.mp3	Does reading really seem nonsense to you?	test
common_voice_sl_17487678.mp3	Press on the pedal with your left foot.	test
common_voice_sl_17487679.mp3	Transaction has already expired.	test
common_voice_sl_17487680.mp3	The old man just left the book there.	test
common_voice_sl_18109577.mp3	The grass and bushes were wet.	test
common_voice_sl_18109578.mp3	His internet connection was too slow.	test
common_voice_sl_18109580.mp3	How long will you be away?	test
common_voice_sl_18109581.mp3	I’m sorry because of this.	test
common_voice_sl_17840215.mp3	Help yourself to some hot rum, my exhausted hero.	test
common_voice_sl_17840216.mp3	Whatever is given to the poor is laid up in heaven.	test
common_voice_sl_17840217.mp3	You shouldn’t have said that!	test
common_voice_sl_17840218.mp3	Good fortune closes the eyes, misfortune opens them.	test
common_voice_sl_17840219.mp3	Corn may be used for lighting fire.	test
common_voice_sl_18001237.mp3	It didn’t make sense.	test
common_voice_sl_18001238.mp3	Why are we doing this again?	test
common_voice_sl_18001239.mp3	Wine is bad for the stomach.	test
common_voice_sl_18001240.mp3	To know the truth, consider both sides of the story.	test
common_voice_sl_18001241.mp3	Have you seen my USB drive?	test
common_voice_sl_17422106.mp3	In the following year, mentally upgrade yourself.	test
common_voice_sl_17422107.mp3	And what happened with the traveler?	test
common_voice_sl_17422108.mp3	Marriage is joy to the heart but burden to the mind.	test
common_voice_sl_17422109.mp3	Oh, Lord, please give me patience – now!	test
common_voice_sl_17422110.mp3	The house chases away those that stay in it too long.	test
common_voice_sl_17368793.mp3	Anger and hate hinder proper consultation.	test
common_voice_sl_17368794.mp3	The girl wore a pair of exquisite tights.	test
common_voice_sl_17368795.mp3	There is no honor among thieves.	test
common_voice_sl_17368796.mp3	Certain songs have been sung at every party.	test
common_voice_sl_17368797.mp3	Love and hate are human emotions.	test
common_voice_sl_17868703.mp3	A clean neck means a neat collar.	test
common_voice_sl_17868704.mp3	What a wonderful day!	test
common_voice_sl_17868705.mp3	The greedy are always hungry.	test
common_voice_sl_17868706.mp3	I feel sharp pain in my left arm.	test
common_voice_sl_17868707.mp3	A used plow glows in dark, stagnant water stinks.	test
common_voice_sl_19730822.mp3	What is the bright side in this?	test
common_voice_sl_19731025.mp3	Great lady.	test
common_voice_sl_19731108.mp3	I still don’t understand why don’t you simply go to dinner or something.	test
common_voice_sl_19731109.mp3	Wait here.	test
common_voice_sl_19731110.mp3	You know what I mean.	test
common_voice_sl_19518047.mp3	Maybe you know Sheldon Copper?!	test
common_voice_sl_19518052.mp3	You showered in our house?	test
common_voice_sl_19518064.mp3	Go have fun kids.	test
common_voice_sl_19518065.mp3	I enable you this.	test
common_voice_sl_19518083.mp3	Can you sing me a lullaby?	test
common_voice_sl_19518132.mp3	Thank you, my mum made it.	test
common_voice_sl_18133768.mp3	Can you believe he actually asked me that?	test
common_voice_sl_18133769.mp3	When the old hive ignites fire holds on for a long time.	test
common_voice_sl_18133771.mp3	Mister Lincoln is my mentor.	test
common_voice_sl_18133783.mp3	What is his other name?	test
common_voice_sl_18133784.mp3	Xenophobes are prejudices against strangers.	test
common_voice_sl_18133785.mp3	How big is this closet?	test
common_voice_sl_18133786.mp3	High seats are the best for soccer fans.	test
common_voice_sl_18133824.mp3	Where love rules, not many laws are needed.	test
common_voice_sl_18133827.mp3	Marija will bring her friend Vid.	test
common_voice_sl_17846042.mp3	Draw a line on north the side of the map.	test
common_voice_sl_17846043.mp3	Did you see that?	test
common_voice_sl_17846044.mp3	Cut the tape that will tightly wrap the box.	test
common_voice_sl_17846045.mp3	I think I caught a cold.	test
common_voice_sl_17846046.mp3	Who is not eating, has already eaten.	test
common_voice_sl_17846047.mp3	Beautiful and blind don’t see where are they going together.	test
