path	translation	split
common_voice_nl_17699535.mp3	Aboriginals are the original inhabitants of Australia.	test
common_voice_nl_17694848.mp3	My keyboard is full of dust.	test
common_voice_nl_18441136.mp3	She had damaged the couch with her skateboard.	test
common_voice_nl_19841421.mp3	Why didn’t you just call me?	test
common_voice_nl_19573544.mp3	The kids sighed, they had to wait another hour.	test
common_voice_nl_20215642.mp3	They crowded into the dining room, which had been converted into a dressing room.	test
common_voice_nl_17700547.mp3	After reading a lot of reviews, she finally turned to a laptop with a qwerty keyboard.	test
common_voice_nl_19679924.mp3	Bert Anciaux has been in politics for a long time.	test
common_voice_nl_20217699.mp3	I have sent my resume through the mail.	test
common_voice_nl_20217675.mp3	She didn’t like playing Monopoly.	test
common_voice_nl_19031796.mp3	Feeding bread to ducks is actually unhealthy for the animals.	test
common_voice_nl_17695742.mp3	Parquet is vacuumed and tiles need to be mopped.	test
common_voice_nl_19581173.mp3	On Friday everyone went to the disco.	test
common_voice_nl_20218287.mp3	She didn’t like playing Monopoly.	test_covost
common_voice_nl_19812821.mp3	The whole company had to start working agile.	test
common_voice_nl_20216481.mp3	April is very unpredictable.	test
common_voice_nl_17706390.mp3	Have you set the dinner table?	test
common_voice_nl_17696892.mp3	Ine was laying in the beach chair.	test
common_voice_nl_19442483.mp3	Seven plus four is eleven.	test
common_voice_nl_17703134.mp3	They painted the front Bordeaux red.	test
common_voice_nl_17700297.mp3	He is lying on the seat with his arms crossed.	test
common_voice_nl_19617395.mp3	Good evening, how may I help you?	test
common_voice_nl_18294089.mp3	The trees are felled first, then they are sawn into planks in order to eventually be used in furniture.	test
common_voice_nl_18352889.mp3	You can put the luggage on the compartment above the chairs.	test
common_voice_nl_17874113.mp3	She wanted to be the hero again.	test
common_voice_nl_19974945.mp3	You are comparing apples and oranges.	test
common_voice_nl_17694673.mp3	Chemical reactions are not always predictable.	test
common_voice_nl_17703135.mp3	She goes for the first time to school tomorrow.	test
common_voice_nl_18993986.mp3	The Earth takes about three hundred and sixty five days to revolve around the sun.	test
common_voice_nl_18993989.mp3	I hate traitors.	test
common_voice_nl_17702888.mp3	Do you eat a hamburger with knife and fork or with your hands?	test
common_voice_nl_17702890.mp3	Every night, she lays under a blanket in the seat.	test
common_voice_nl_18369625.mp3	The US and Canada have concluded a trade deal.	test
common_voice_nl_18369658.mp3	After reading many reviews a laptop with a QWERTY keyboard had finally caught her eye.	test
common_voice_nl_17695748.mp3	How many different words would the Dutch language contain?	test
common_voice_nl_17695750.mp3	VAT is the abbreviation for value added tax.	test
common_voice_nl_17696333.mp3	Don’t worry about it.	test
common_voice_nl_17696340.mp3	Do you know these people?	test
common_voice_nl_18291846.mp3	Mariet had painted the wall in Bordeaux red.	test
common_voice_nl_18291848.mp3	Can you type without looking?	test
common_voice_nl_19145259.mp3	There’s puss emerging from the wound.	test
common_voice_nl_19145262.mp3	In the past, things have been going wrong in this department.	test
common_voice_nl_19617791.mp3	To reach the opera, go left on the first street and then on third to the right again.	test
common_voice_nl_19617792.mp3	The co-pilot has enabled the autopilot.	test
common_voice_nl_18522363.mp3	We eat with knife and fork.	test
common_voice_nl_18522365.mp3	We’ll solve that in montage.	test
common_voice_nl_18994070.mp3	Groningen and Leeuwarden are both located in the north of the Netherlands.	test
common_voice_nl_18994074.mp3	I had recommended him an Italian restaurant for his date.	test
common_voice_nl_17697570.mp3	The sirens of the ambulance echoed through the streets.	test
common_voice_nl_17697571.mp3	She was substituted in the second half.	test
common_voice_nl_19574524.mp3	Nine times five is forty five.	test
common_voice_nl_19574527.mp3	He takes me out of my concentration again.	test
common_voice_nl_17699283.mp3	His uncle is a soldier in the army.	test
common_voice_nl_17699287.mp3	Mirror, mirror on the wall, who is he fairest of them all.	test
common_voice_nl_17706524.mp3	When the dog barks, I know there is a cat in the yard.	test
common_voice_nl_17706525.mp3	My lace broke.	test
common_voice_nl_17693566.mp3	The drainpipe is leaking again.	test
common_voice_nl_17693567.mp3	With trembling knees I entered the office.	test
common_voice_nl_17696278.mp3	It’s twenty five past seven.	test
common_voice_nl_17696279.mp3	They have deposed of the old president during the coup.	test
common_voice_nl_19709613.mp3	Eline has gone skiing near Geneve.	test
common_voice_nl_19709902.mp3	The purpose of the theatre was to give young people a stage.	test
common_voice_nl_19383839.mp3	The stage light was aimed at her face.	test
common_voice_nl_19383840.mp3	Hearts is a popular card game.	test
common_voice_nl_17695825.mp3	I often walk for pleasure.	test
common_voice_nl_17695826.mp3	There again are counties fused with each other.	test
common_voice_nl_18408694.mp3	Do you export sugar beets?	test
common_voice_nl_18408696.mp3	Indonesia consists of many islands.	test
common_voice_nl_17920999.mp3	N-VA was the biggest party of Flanders in the last elections.	test
common_voice_nl_17921000.mp3	The queen’s crown jewels have been stolen.	test
common_voice_nl_17921001.mp3	A as in Alfa Romeo.	test
common_voice_nl_18760337.mp3	She treats herself now and then.	test
common_voice_nl_18760340.mp3	He is Wooly Chuck Woolery.	test
common_voice_nl_18760341.mp3	The tower could be seen from afar.	test
common_voice_nl_17696048.mp3	Madrid and Barcelona are the biggest cities in Spain.	test
common_voice_nl_17696050.mp3	In volleyball the ball needs to cross the net in order to score a point.	test
common_voice_nl_17696052.mp3	The capital of North Holland is not Amsterdam, but Haarlem.	test
common_voice_nl_18230897.mp3	Molenbeek is situated on the other side the canal.	test
common_voice_nl_18230900.mp3	They were in negotiation about her secondary conditions.	test
common_voice_nl_18230901.mp3	I’m going to get my course at he bookshop.	test
common_voice_nl_18246388.mp3	Do you get along with your coworkers?	test
common_voice_nl_18246389.mp3	My grandmother had cancer and has had a breast amputated.	test
common_voice_nl_18246390.mp3	The student didn’t agree with the teacher.	test
common_voice_nl_17695313.mp3	She’s comfortable around him.	test
common_voice_nl_17695314.mp3	It’s six thirty PM now.	test
common_voice_nl_17695315.mp3	He had hidden the package in the men’s bathroom.	test
common_voice_nl_17694558.mp3	Yves squeezed out the oranges.	test
common_voice_nl_17694559.mp3	Beter late than never.	test
common_voice_nl_17694561.mp3	My grandpa now drives a BMW, but is going to order a Tesla Model S.	test
common_voice_nl_17695034.mp3	My keyboard is full of dust.	test_covost
common_voice_nl_17695036.mp3	With his left foot, he kicked the ball merciless is the shopping corner.	test
common_voice_nl_17695038.mp3	You need to pay attention to the common thread in your presentation.	test
common_voice_nl_18077785.mp3	My sister already went through here third Samsung Phone.	test
common_voice_nl_18077786.mp3	There was a layer of dust on the furniture.	test
common_voice_nl_18077788.mp3	Sometimes I experience so much pain I can’t sleep.	test
common_voice_nl_17756230.mp3	The passing of his grandmother was a sad moment.	test
common_voice_nl_17756231.mp3	Pavers were replaced by asphalt.	test
common_voice_nl_17756233.mp3	He placed a disk in the DVD player.	test
common_voice_nl_17827208.mp3	The paving stones were very heavy, so we just left them in the corner.	test
