client_id	path	sentence	up_votes	down_votes	age	gender	accent
da33f314d9043ea2fb9007fd039b6c59c6d2c925a3756e82dd516ee3e633416f5c72912069701d55898aead4cdcacca2827c405357ae975810186d2f37601a5a	common_voice_sl_17399348.mp3	Janko je pokusil žganje in molčal.	1	1	twenties	male	
da33f314d9043ea2fb9007fd039b6c59c6d2c925a3756e82dd516ee3e633416f5c72912069701d55898aead4cdcacca2827c405357ae975810186d2f37601a5a	common_voice_sl_17399374.mp3	Že dolgo sem te čakal!	1	2	twenties	male	
da33f314d9043ea2fb9007fd039b6c59c6d2c925a3756e82dd516ee3e633416f5c72912069701d55898aead4cdcacca2827c405357ae975810186d2f37601a5a	common_voice_sl_17399470.mp3	Petindvajset evrov in 4 cente, prosim.	0	2	twenties	male	
0991a09f9e16c8a9fbff1fb4940958ac1e1abbb867ee4907befa54769250f45cccafcf50e90e52384f189bfefb86a5dbc71bcecfd00b0de10428dcfc639bfee0	common_voice_sl_17419613.mp3	Žena drži pri hiši tri vogle in še pri četrtem možu pomaga.	1	2	twenties	male	
0991a09f9e16c8a9fbff1fb4940958ac1e1abbb867ee4907befa54769250f45cccafcf50e90e52384f189bfefb86a5dbc71bcecfd00b0de10428dcfc639bfee0	common_voice_sl_17419756.mp3	Dekle je nosila sijajne hlačne nogavice.	0	2	twenties	male	
0991a09f9e16c8a9fbff1fb4940958ac1e1abbb867ee4907befa54769250f45cccafcf50e90e52384f189bfefb86a5dbc71bcecfd00b0de10428dcfc639bfee0	common_voice_sl_17419757.mp3	Kdor čas svoj prav obrne, se s čednostjo ogrne.	0	2	twenties	male	
0991a09f9e16c8a9fbff1fb4940958ac1e1abbb867ee4907befa54769250f45cccafcf50e90e52384f189bfefb86a5dbc71bcecfd00b0de10428dcfc639bfee0	common_voice_sl_17419758.mp3	Na koledarju je bil september.	0	2	twenties	male	
0991a09f9e16c8a9fbff1fb4940958ac1e1abbb867ee4907befa54769250f45cccafcf50e90e52384f189bfefb86a5dbc71bcecfd00b0de10428dcfc639bfee0	common_voice_sl_17419759.mp3	Kako si vedel?	1	2	twenties	male	
0991a09f9e16c8a9fbff1fb4940958ac1e1abbb867ee4907befa54769250f45cccafcf50e90e52384f189bfefb86a5dbc71bcecfd00b0de10428dcfc639bfee0	common_voice_sl_17419760.mp3	Ali lahko dobim sendvič brez majoneze?	1	2	twenties	male	
0991a09f9e16c8a9fbff1fb4940958ac1e1abbb867ee4907befa54769250f45cccafcf50e90e52384f189bfefb86a5dbc71bcecfd00b0de10428dcfc639bfee0	common_voice_sl_17419761.mp3	Nekatere obleke ničesar ne rečejo, a vse povedo.	0	2	twenties	male	
0991a09f9e16c8a9fbff1fb4940958ac1e1abbb867ee4907befa54769250f45cccafcf50e90e52384f189bfefb86a5dbc71bcecfd00b0de10428dcfc639bfee0	common_voice_sl_17419762.mp3	Ne ugriznite roke, ki vas hrani.	1	2	twenties	male	
0991a09f9e16c8a9fbff1fb4940958ac1e1abbb867ee4907befa54769250f45cccafcf50e90e52384f189bfefb86a5dbc71bcecfd00b0de10428dcfc639bfee0	common_voice_sl_17419763.mp3	Če mož ženo zmerja, jo otroci tepejo.	1	3	twenties	male	
0991a09f9e16c8a9fbff1fb4940958ac1e1abbb867ee4907befa54769250f45cccafcf50e90e52384f189bfefb86a5dbc71bcecfd00b0de10428dcfc639bfee0	common_voice_sl_17419764.mp3	Počutil sem se kot v raju.	0	2	twenties	male	
0991a09f9e16c8a9fbff1fb4940958ac1e1abbb867ee4907befa54769250f45cccafcf50e90e52384f189bfefb86a5dbc71bcecfd00b0de10428dcfc639bfee0	common_voice_sl_17419765.mp3	Jerry ni mogel verjeti.	1	2	twenties	male	
0991a09f9e16c8a9fbff1fb4940958ac1e1abbb867ee4907befa54769250f45cccafcf50e90e52384f189bfefb86a5dbc71bcecfd00b0de10428dcfc639bfee0	common_voice_sl_17419766.mp3	Dobrota napravi slabe hlapce.	0	2	twenties	male	
e790d1a6d652b49b74172d96fca249c1d46c38806613534de93e324492059b41bb491639158ff5b5efe117d167447b1dca743bff0b32dcfe07b12a43fb13a86e	common_voice_sl_17436831.mp3	Kratka tišina je bila dobrodošla.	1	1	twenties	male	
e790d1a6d652b49b74172d96fca249c1d46c38806613534de93e324492059b41bb491639158ff5b5efe117d167447b1dca743bff0b32dcfe07b12a43fb13a86e	common_voice_sl_17437083.mp3	Mladi knez je postal dedič na prestolu.	1	2	twenties	male	
692b657bc146f7efb9ab4a685c0641b072690dfc8b5451759618d44ff3ffaf2e25168005506dcf601844e7d796b8a40a3a42b332e40adb2c8b859e97e798e403	common_voice_sl_17487676.mp3	Pijača vleče denar iz žepa, pamet pa iz glave.	1	2			
7d26e03abe70eab61fd92f13009f3ccf7ae3d332541696f3ea11cf0839dfbffd29254eac8cd77536319ba6d1aded5b75a20da59a6c78c701609234647653bc5b	common_voice_sl_17568279.mp3	Komu se smeješ?	1	2	twenties	male	
7d26e03abe70eab61fd92f13009f3ccf7ae3d332541696f3ea11cf0839dfbffd29254eac8cd77536319ba6d1aded5b75a20da59a6c78c701609234647653bc5b	common_voice_sl_17568371.mp3	Spustite oba, ko oddata številke.	1	1	twenties	male	
7d26e03abe70eab61fd92f13009f3ccf7ae3d332541696f3ea11cf0839dfbffd29254eac8cd77536319ba6d1aded5b75a20da59a6c78c701609234647653bc5b	common_voice_sl_17568381.mp3	Up je kruh bednika.	1	2	twenties	male	
7d26e03abe70eab61fd92f13009f3ccf7ae3d332541696f3ea11cf0839dfbffd29254eac8cd77536319ba6d1aded5b75a20da59a6c78c701609234647653bc5b	common_voice_sl_17568566.mp3	Mislim, da je vse to.	1	2	twenties	male	
7d26e03abe70eab61fd92f13009f3ccf7ae3d332541696f3ea11cf0839dfbffd29254eac8cd77536319ba6d1aded5b75a20da59a6c78c701609234647653bc5b	common_voice_sl_17568577.mp3	Stare vrane ne pobirajo črvov blizu brane.	0	2	twenties	male	
7d26e03abe70eab61fd92f13009f3ccf7ae3d332541696f3ea11cf0839dfbffd29254eac8cd77536319ba6d1aded5b75a20da59a6c78c701609234647653bc5b	common_voice_sl_17568612.mp3	Zvil sem si gleženj.	1	2	twenties	male	
7d26e03abe70eab61fd92f13009f3ccf7ae3d332541696f3ea11cf0839dfbffd29254eac8cd77536319ba6d1aded5b75a20da59a6c78c701609234647653bc5b	common_voice_sl_17568664.mp3	Ali prizorišče ponuja brezplačen Wi-Fi?	1	2	twenties	male	
7d26e03abe70eab61fd92f13009f3ccf7ae3d332541696f3ea11cf0839dfbffd29254eac8cd77536319ba6d1aded5b75a20da59a6c78c701609234647653bc5b	common_voice_sl_17568866.mp3	Poklicala sem Benjamina.	1	2	twenties	male	
7d26e03abe70eab61fd92f13009f3ccf7ae3d332541696f3ea11cf0839dfbffd29254eac8cd77536319ba6d1aded5b75a20da59a6c78c701609234647653bc5b	common_voice_sl_17568923.mp3	Dobrota napravi slabe hlapce.	1	1	twenties	male	
7d26e03abe70eab61fd92f13009f3ccf7ae3d332541696f3ea11cf0839dfbffd29254eac8cd77536319ba6d1aded5b75a20da59a6c78c701609234647653bc5b	common_voice_sl_17568952.mp3	V enem ušesu not in drugem ven.	1	2	twenties	male	
7d26e03abe70eab61fd92f13009f3ccf7ae3d332541696f3ea11cf0839dfbffd29254eac8cd77536319ba6d1aded5b75a20da59a6c78c701609234647653bc5b	common_voice_sl_17568971.mp3	Preveč hrane se vrže stran.	1	1	twenties	male	
7d26e03abe70eab61fd92f13009f3ccf7ae3d332541696f3ea11cf0839dfbffd29254eac8cd77536319ba6d1aded5b75a20da59a6c78c701609234647653bc5b	common_voice_sl_17569100.mp3	Ta je bila moja najljubša!	1	2	twenties	male	
d37359473ef055d8cee1c1e9456ac23357a1f80202ac459f052085e79c651aba2d3b2923a53011dcee140a71f20085ad6425d3dc39afdba07badfe61a9d3750c	common_voice_sl_17633348.mp3	Kratka ljubezen, dolgi vzdihi.	1	2			
d37359473ef055d8cee1c1e9456ac23357a1f80202ac459f052085e79c651aba2d3b2923a53011dcee140a71f20085ad6425d3dc39afdba07badfe61a9d3750c	common_voice_sl_17633349.mp3	Kdor prvi pride, prvi melje.	1	2			
d37359473ef055d8cee1c1e9456ac23357a1f80202ac459f052085e79c651aba2d3b2923a53011dcee140a71f20085ad6425d3dc39afdba07badfe61a9d3750c	common_voice_sl_17633350.mp3	Kar gola sreča prinese, naslednja že luna odnese.	1	2			
d37359473ef055d8cee1c1e9456ac23357a1f80202ac459f052085e79c651aba2d3b2923a53011dcee140a71f20085ad6425d3dc39afdba07badfe61a9d3750c	common_voice_sl_17633351.mp3	Stranka ima vedno prav.	0	2			
d05e2edfc7836c33b6113be58439e9e969a4f1ee997da809f8f9b9fe317504b9d13707bd7f96b3069078fa5e00c185dd4ad81df5ab233dec0b63134bb114acd6	common_voice_sl_17794338.mp3	Dekla se po gospodinji vrže, ne gospodinja po dekli.	0	2			
d05e2edfc7836c33b6113be58439e9e969a4f1ee997da809f8f9b9fe317504b9d13707bd7f96b3069078fa5e00c185dd4ad81df5ab233dec0b63134bb114acd6	common_voice_sl_17794340.mp3	Česar v glavi ni, peta nadomesti.	0	2			
977eb7974abd4dc9cb14f2a0ca3dbb5cbf06d88bd386a0145afd1c8efbb70317f23f8ba1a53547639c0dbc311cd1d32848230535768823084fe686d1b1bfc2a7	common_voice_sl_17799082.mp3	Najmanj si želimo zvedeti resnico, ki bi nam najbolj koristile.	0	2	fifties	female	
977eb7974abd4dc9cb14f2a0ca3dbb5cbf06d88bd386a0145afd1c8efbb70317f23f8ba1a53547639c0dbc311cd1d32848230535768823084fe686d1b1bfc2a7	common_voice_sl_17813217.mp3	V ljubezni oprostiš, a ne pozabiš.	0	2	fifties	female	
977eb7974abd4dc9cb14f2a0ca3dbb5cbf06d88bd386a0145afd1c8efbb70317f23f8ba1a53547639c0dbc311cd1d32848230535768823084fe686d1b1bfc2a7	common_voice_sl_17813225.mp3	Potem se je vstal in odšel.	0	2	fifties	female	
977eb7974abd4dc9cb14f2a0ca3dbb5cbf06d88bd386a0145afd1c8efbb70317f23f8ba1a53547639c0dbc311cd1d32848230535768823084fe686d1b1bfc2a7	common_voice_sl_17855969.mp3	Če kdo koga s tinto privije, se težko izvije.	1	2	fifties	female	
977eb7974abd4dc9cb14f2a0ca3dbb5cbf06d88bd386a0145afd1c8efbb70317f23f8ba1a53547639c0dbc311cd1d32848230535768823084fe686d1b1bfc2a7	common_voice_sl_17855979.mp3	Prepričan sem, da je svet raven.	0	2	fifties	female	
977eb7974abd4dc9cb14f2a0ca3dbb5cbf06d88bd386a0145afd1c8efbb70317f23f8ba1a53547639c0dbc311cd1d32848230535768823084fe686d1b1bfc2a7	common_voice_sl_17870424.mp3	Pridite, naj vas objemam!	1	2	fifties	female	
977eb7974abd4dc9cb14f2a0ca3dbb5cbf06d88bd386a0145afd1c8efbb70317f23f8ba1a53547639c0dbc311cd1d32848230535768823084fe686d1b1bfc2a7	common_voice_sl_17870426.mp3	Oči so prvi sel ljubezni.	0	2	fifties	female	
977eb7974abd4dc9cb14f2a0ca3dbb5cbf06d88bd386a0145afd1c8efbb70317f23f8ba1a53547639c0dbc311cd1d32848230535768823084fe686d1b1bfc2a7	common_voice_sl_17874753.mp3	Kje bi lahko bila to moja cev?	0	2	fifties	female	
e790d1a6d652b49b74172d96fca249c1d46c38806613534de93e324492059b41bb491639158ff5b5efe117d167447b1dca743bff0b32dcfe07b12a43fb13a86e	common_voice_sl_17884266.mp3	Lakomnemu vedno nekaj manjka.	1	2	twenties	male	
e790d1a6d652b49b74172d96fca249c1d46c38806613534de93e324492059b41bb491639158ff5b5efe117d167447b1dca743bff0b32dcfe07b12a43fb13a86e	common_voice_sl_17895336.mp3	Ljubezen se opazi kot luknja v nogavicah.	0	2	twenties	male	
e790d1a6d652b49b74172d96fca249c1d46c38806613534de93e324492059b41bb491639158ff5b5efe117d167447b1dca743bff0b32dcfe07b12a43fb13a86e	common_voice_sl_17916097.mp3	Bil je edini, ki sem ga ljubila.	0	2	twenties	male	
e790d1a6d652b49b74172d96fca249c1d46c38806613534de93e324492059b41bb491639158ff5b5efe117d167447b1dca743bff0b32dcfe07b12a43fb13a86e	common_voice_sl_17916102.mp3	Ta je bila moja najljubša!	0	2	twenties	male	
e790d1a6d652b49b74172d96fca249c1d46c38806613534de93e324492059b41bb491639158ff5b5efe117d167447b1dca743bff0b32dcfe07b12a43fb13a86e	common_voice_sl_17916103.mp3	Koruzo lahko uporabite za vžiganje ognja.	0	2	twenties	male	
e790d1a6d652b49b74172d96fca249c1d46c38806613534de93e324492059b41bb491639158ff5b5efe117d167447b1dca743bff0b32dcfe07b12a43fb13a86e	common_voice_sl_17916104.mp3	Pojdi ven!	0	2	twenties	male	
e790d1a6d652b49b74172d96fca249c1d46c38806613534de93e324492059b41bb491639158ff5b5efe117d167447b1dca743bff0b32dcfe07b12a43fb13a86e	common_voice_sl_17916105.mp3	Ljubim čokoladne bombone.	0	2	twenties	male	
e790d1a6d652b49b74172d96fca249c1d46c38806613534de93e324492059b41bb491639158ff5b5efe117d167447b1dca743bff0b32dcfe07b12a43fb13a86e	common_voice_sl_17917696.mp3	Nobenega dvoma ni bilo.	1	1	twenties	male	
e790d1a6d652b49b74172d96fca249c1d46c38806613534de93e324492059b41bb491639158ff5b5efe117d167447b1dca743bff0b32dcfe07b12a43fb13a86e	common_voice_sl_17917701.mp3	Nikoli nisem pomislil na to.	1	1	twenties	male	
e790d1a6d652b49b74172d96fca249c1d46c38806613534de93e324492059b41bb491639158ff5b5efe117d167447b1dca743bff0b32dcfe07b12a43fb13a86e	common_voice_sl_17920432.mp3	Če si pameten, išči prevaro v najlepši vreči.	1	1	twenties	male	
e790d1a6d652b49b74172d96fca249c1d46c38806613534de93e324492059b41bb491639158ff5b5efe117d167447b1dca743bff0b32dcfe07b12a43fb13a86e	common_voice_sl_17920609.mp3	Dobrota napravi slabe hlapce.	1	1	twenties	male	
e790d1a6d652b49b74172d96fca249c1d46c38806613534de93e324492059b41bb491639158ff5b5efe117d167447b1dca743bff0b32dcfe07b12a43fb13a86e	common_voice_sl_17920654.mp3	Ni bilo časa, da bi se izgubil.	1	1	twenties	male	
e790d1a6d652b49b74172d96fca249c1d46c38806613534de93e324492059b41bb491639158ff5b5efe117d167447b1dca743bff0b32dcfe07b12a43fb13a86e	common_voice_sl_17931147.mp3	Grozdje je bilo stisnjeno v vino.	1	1	twenties	male	
e790d1a6d652b49b74172d96fca249c1d46c38806613534de93e324492059b41bb491639158ff5b5efe117d167447b1dca743bff0b32dcfe07b12a43fb13a86e	common_voice_sl_17931148.mp3	V januarju toplo, v februarju hladno.	1	1	twenties	male	
e790d1a6d652b49b74172d96fca249c1d46c38806613534de93e324492059b41bb491639158ff5b5efe117d167447b1dca743bff0b32dcfe07b12a43fb13a86e	common_voice_sl_17933289.mp3	V miru mladi pokopavajo starce, v vojni starci pokopavajo mlade.	1	1	twenties	male	
e790d1a6d652b49b74172d96fca249c1d46c38806613534de93e324492059b41bb491639158ff5b5efe117d167447b1dca743bff0b32dcfe07b12a43fb13a86e	common_voice_sl_17933313.mp3	S plesom se začne, s svatbo konča.	1	1	twenties	male	
e790d1a6d652b49b74172d96fca249c1d46c38806613534de93e324492059b41bb491639158ff5b5efe117d167447b1dca743bff0b32dcfe07b12a43fb13a86e	common_voice_sl_17939823.mp3	Zakaj je fliper tako zasvojujoč?	1	1	twenties	male	
